skill_id,skill_name,level
0201,Creativity,100
0202,Architecture,89
0203,Programming,90
0204,DevOps,77
0205,Testing,72
0206,Agilism,86
0207,Data Science,91
0208,Data Engineering,97
0209,Big Data,92
0210,Virtualization,88
0211,FrontEnd,78
0212,BackEnd,88
